O14,ADAS,123,DS,17.5,2025-08-17T00:37:30.307949800,B2
O12,DSA,123,DSA,17.5,2025-08-17T00:36:27.237106400,B2
O11,DS,21,DSA,20.0,2025-08-17T00:36:12.331624700,B8
O10,DSA,SA,12,17.5,2025-08-17T00:36:02.798063500,B2
O9,DSA,213,DA,16.5,2025-08-17T00:35:54.348415,B4
O7,SA,12,SDA,21.0,2025-08-17T00:35:32.546017600,B9
O6,SD,2,1,17.5,2025-08-17T00:35:24.442423200,B2
O5,SDA,2,S,13.99,2025-08-17T00:35:15.989719200,B1
O4,DS,231231,ADS,17.5,2025-08-17T00:35:01.950339300,B2
O3,DSA,2,S,17.5,2025-08-17T00:34:49.689247900,B2
O2,dasab,213123,dsad,212.45000000000002,2025-08-17T00:34:09.778438,B10;B1;B2;B4;B5;B3;B2;B1;B2;B5;B6;B8
O1, ddsa,21312,sadasd,17.5,2025-08-17T00:33:02.465106700,B2
